lsoa21cd,IMD19
E01014014,13636.0
E01014031,13631.0
E01014032,16442.0
E01014036,23031.0
E01014057,13591.0
E01014370,12188.0
E01014371,16329.0
E01014372,19305.0
E01014373,23644.0
E01014374,27670.0
E01014375,22770.0
E01014376,32269.0
E01014377,30918.0
E01014380,32636.0
E01014381,32511.0
E01014382,28239.0
E01014383,26882.0
E01014384,30916.0
E01014385,21955.0
E01014386,24815.0
E01014387,28318.0
E01014388,32497.0
E01014389,29674.0
E01014390,3758.0
E01014391,26359.0
E01014392,17767.0
E01014393,32656.0
E01014394,23077.0
E01014395,31480.0
E01014396,26401.0
E01014397,32768.0
E01014398,24832.0
E01014399,18853.0
E01014400,25118.0
E01014401,12117.0
E01014403,18364.0
E01014404,9638.0
E01014405,31930.0
E01014407,9836.0
E01014409,18201.0
E01014410,32506.0
E01014411,30867.0
E01014412,31817.0
E01014413,31003.0
E01014414,17804.0
E01014415,32604.0
E01014416,27788.0
E01014417,30880.0
E01014418,25502.0
E01014419,25898.0
E01014420,22496.0
E01014421,29959.0
E01014422,31159.0
E01014423,24284.0
E01014424,30929.0
E01014425,24869.0
E01014426,12047.0
E01014427,25880.0
E01014428,31452.0
E01014429,30814.0
E01014430,27960.0
E01014431,16051.0
E01014432,19118.0
E01014433,16272.0
E01014434,30206.0
E01014435,31764.0
E01014436,29433.0
E01014437,12016.0
E01014438,14778.0
E01014439,17055.0
E01014440,28479.0
E01014441,26434.0
E01014442,24837.0
E01014443,25887.0
E01014444,25215.0
E01014445,9106.0
E01014446,20141.0
E01014447,16539.0
E01014448,10098.0
E01014449,25490.0
E01014450,12365.0
E01014451,15177.0
E01014452,24946.0
E01014453,32115.0
E01014454,32555.0
E01014455,15206.0
E01014456,25357.0
E01014457,31101.0
E01014458,3278.0
E01014459,18715.0
E01014460,32180.0
E01014461,9117.0
E01014462,4576.0
E01014463,3120.0
E01014464,3774.0
E01014465,29295.0
E01014466,16412.0
E01014467,28411.0
E01014468,29581.0
E01014469,11976.0
E01014470,27412.0
E01014471,19636.0
E01014472,22355.0
E01014473,29622.0
E01014474,17849.0
E01014476,31182.0
E01014477,32001.0
E01014478,12295.0
E01014479,31271.0
E01014480,19081.0
E01014481,28870.0
E01014482,31537.0
E01014483,26007.0
E01014484,26970.0
E01014485,12992.0
E01014486,3573.0
E01014487,17138.0
E01014488,11617.0
