Code,Trust Name,Name,CT Scanners,MRI Scanners,Endoscopy Rooms,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,postcode,latitude,longitude,lsoa21cd,msoa21cd,oa21cd,icb_code,local_authority
RTE01,Gloucestershire Hospitals NHS Foundation Trust,Cheltenham General Hospital,2,2,2,Sandford Road,,,Cheltenham,Gloucestershire,GL53 7AN,General acute hospital,QR1,NHS Gloucestershire Integrated Care Board,GL537AN,-2.071882697,51.89212026,E01022116,E02004608,E00168922,E54000043,E07000078
RTE03,Gloucestershire Hospitals NHS Foundation Trust,Gloucestershire Royal Hospital,4,2,2,Great Western Road,,,Gloucester,Gloucestershire,GL1 3NN,General acute hospital,QR1,NHS Gloucestershire Integrated Care Board,GL13NN,-2.232072788,51.86637889,E01022312,E02004637,E00168979,E54000043,E07000081
RH5A8,Somerset NHS Foundation Trust,Musgrove Park Hospital,3,2,3,Musgrove Park,,,Taunton,Somerset,TA1 5DA,General acute hospital,QSL,NHS Somerset Integrated Care Board,TA15DA,-3.121693093,51.01157383,E01029302,E02006109,E00149288,E54000038,E06000066
RH5O4,Somerset NHS Foundation Trust,Yeovil District Hospital,2,2,2,Yeovil District Hospital,Higher Kingston,,Yeovil,Somerset,BA21 4AT,General acute hospital,QSL,NHS Somerset Integrated Care Board,BA214AT,-2.634712225,50.94484277,E01029231,E02006088,E00148925,E54000038,E06000066
RA701,University Hospitals Bristol and Weston NHS Foundation Trust,Bristol Royal Infirmary,5,6,7,Marlborough Street,,,Bristol,Avon,BS2 8HW,General acute hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS28HW,-2.596138537,51.45918334,E01033904,E02006951,E00174312,E54000039,E06000023
RA7C2,University Hospitals Bristol and Weston NHS Foundation Trust,Weston General Hospital,1,0,2,"Grange Road, Uphill",,,Weston-Super-Mare,Avon,BS23 4TQ,General acute hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS234TQ,-2.971398595,51.3223348,E01014803,E02003089,E00074819,E54000039,E06000024
RD130,Royal United Hospitals Bath NHS Foundation Trust,Royal United Hospital,3,4,4,Combe Park,,,Bath,Avon,BA1 3NG,General acute hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA13NG,-2.391217782,51.39166524,E01014428,E02002992,E00072879,E54000040,E06000022
RH801,Royal Devon University Healthcare NHS Foundation Trust,Royal Devon & Exeter Hospital (Wonford),4,4,5,Barrack Road,,,Exeter,Devon,EX2 5DW,General acute hospital,QJK,NHS Devon Integrated Care Board,EX25DW,-3.506679777,50.71670284,E01020013,E02004161,E00101281,E54000037,E07000041
RNZ02,Salisbury NHS Foundation Trust,Salisbury District Hospital,2,2,3,Odstock Road,,,Salisbury,Wiltshire,SP2 8BJ,General acute hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP28BJ,-1.789822535,51.04394628,E01032000,E02006672,E00163197,E54000040,E06000054
RN325,Great Western Hospitals NHS Foundation Trust,The Great Western Hospital,3,3,4,Marlborough Road,,,Swindon,Wiltshire,SN3 6BB,General acute hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN36BB,-1.727200095,51.53852835,E01015547,E02003219,E00078625,E54000040,E06000030
RA901,Torbay and South Devon NHS Foundation Trust,Torbay Hospital,3,2,3,Newton Road,,,Torquay,Devon,TQ2 7AA,General acute hospital,QJK,NHS Devon Integrated Care Board,TQ27AA,-3.553803862,50.48231611,E01015251,E02003156,E00077072,E54000037,E06000027
R0D01,University Hospitals Dorset NHS Foundation Trust,Poole Hospital,3,4,4,Longfleet Road,,,Poole,Dorset,BH15 2JB,General acute hospital,QVV,NHS Dorset Integrated Care Board,BH152JB,-1.973116857,50.72198734,E01034281,E02003208,E00078219,E54000041,E06000058
R0D02,University Hospitals Dorset NHS Foundation Trust,Royal Bournemouth Hospital,3,3,3,Castle Lane East,,,Bournemouth,Dorset,BH7 7DW,General acute hospital,QVV,NHS Dorset Integrated Care Board,BH77DW,-1.820519538,50.74748173,E01015319,E02003182,E00180400,E54000041,E06000058
RHM25,Dorset County Hospital NHS Foundation Trust,Dorset County Hospital,2,2,2,Dorset County Hospital,Williams Avenue,,Dorchester,Dorset,DT1 2JY,General acute hospital,QVV,NHS Dorset Integrated Care Board,DT12JY,-2.446936212,50.71294042,E01032643,E02007006,E00104064,E54000041,E06000059
RVJ01,North Bristol NHS Trust,Southmead Hospital,5,5,6,Southmead Road,Westbury-on-Trym,,Bristol,Avon,BS10 5NB,General acute hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS105NB,-2.591014291,51.49480706,E01014632,E02003015,E00073899,E54000039,E06000023
REF12,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospital (Treliske),3,3,4,Royal Cornwall Hospital,Treliske,,Truro,Cornwall,TR1 3LJ,General acute hospital,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR13LJ,-5.091464043,50.26668601,E01018865,E02003909,E00182858,E54000036,E06000052
RWV12,Royal Devon University Healthcare NHS Foundation Trust,North Devon District Hospital,2,2,2,Raleigh Park,,,Barnstaple,Devon,EX31 4JB,General acute hospital,QJK,NHS Devon Integrated Care Board,EX314JB,-4.050431377,51.09216876,E01020134,E02004181,E00101949,E54000037,E07000043
RH8D2,University Hospitals Plymouth NHS Trust,Derriford Hospital,5,4,5,Derriford Road,Derriford,,Plymouth,Devon,PL6 8DH,General acute hospital,QJK,NHS Devon Integrated Care Board,PL68DH,-4.113684475,50.41671995,E01015092,E02003126,E00181102,E54000037,E06000026
