source,target,travel_time
N001,N017,28
N015,N016,32
N012,N023,57
N001,N003,12
N012,N014,46
N006,N020,46
N004,N011,28
N003,N015,15
N019,N023,31
N011,N014,56
N012,N019,20
N000,N005,8
N014,N021,6
N000,N003,26
N010,N014,47
N005,N014,27
N004,N009,47
N014,N015,8
N013,N022,54
N005,N019,47
N020,N022,26
N002,N008,23
N004,N024,56
N006,N022,31
N006,N015,12
N016,N023,52
N001,N013,13
N000,N013,39
N005,N010,9
N019,N020,27
N016,N019,49
N001,N014,23
N013,N014,36
N009,N017,19
N002,N003,39
N016,N017,16
N008,N016,19
